"Code","Name","Close","Chg","Vol","Turn","Dev","IO","BidQ","AskQ","Cap","Val"
"3702","大聯大","104.5","-1.88","13714","0.8","0.06","33.12","19","211","170.66","14.3"
"6139","亞翔","765","-0.13","1902","0.81","0.49","40.51","4","9","23.56","14.5"
"2377","微星","140.5","-1.4","16383","1.94","-0.37","28.73","417","114","84.49","23.1"
"7750","新代","2470","-1.79","576","0.8","0.1","33.04","5","1","7.18","14.2"
"3036","文曄","205.5","1.99","4051","0.32","1.21","33.89","24","3","127.1","8.23"
"5904","寶雅*","75.8","-2.82","9066","8.52","-0.98","28.66","242","1","10.64","6.94"
"6214","精誠","180","0.84","3989","1.47","0.11","50.2","14","126","27.22","7.17"
"5269","祥碩","1430","-2.05","489","0.66","-0.93","35.48","5","2","7.42","7.06"
"6907","雅特力-KY","192","-0.26","4045","6.46","-3.19","39.42","10","13","6.26","8.02"
"1727","中華化","89.7","-3.24","6345","4.96","-1.43","37.16","15","10","12.8","5.77"
"3293","鈊象","756","0.93","2416","0.86","-0.63","41.6","3","4","28.18","18.4"
"2881","富邦金","128.5","0","16606","0.12","0.86","52.29","536","55","1400.74","21.2"
"8150","南茂","87.7","0.46","17623","2.5","0.21","47.87","10","69","70.45","15.4"
"1326","台化","58.7","3.53","22302","0.38","-0.15","57.57","24","81","586.12","13.1"
"2478","大毅","128","-4.83","17378","12.01","-1.04","53.14","86","51","14.47","22.5"
"3324","雙鴻","992","0.3","1072","1.15","0.71","45.64","2","4","9.31","10.6"
"6213","聯茂","508","4.96","2751","0.76","1.01","68.86","45","49","36.36","13.8"
"1802","台玻","57.7","1.05","71924","2.47","-2.14","48.29","57","126","290.81","42.4"
"6505","台塑化","73","3.99","20032","0.21","-0.37","56.72","47","25","952.6","14.7"
"2351","順德","182.5","-1.35","6297","3.23","0.96","53.68","1","39","19.47","11.4"
"6414","樺漢","402.5","-1.47","1767","1.13","0.03","40.83","2","4","15.66","7.11"
"4967","十銓","265.5","2.12","3927","3.98","0.09","46.59","16","14","9.86","10.4"
"8069","元太","163.5","1.55","7325","0.63","0.55","58.76","35","68","115.46","11.9"
"1301","台塑","57.9","1.94","12772","0.2","-0.12","52.08","108","28","636.57","7.4"
"1216","統一","78.2","0.9","16305","0.29","0.53","49.9","130","311","568.2","12.7"
"2883","凱基金","30.45","0.16","22797","0.13","0.4","52.96","51","28","1697.48","6.91"
"6715","嘉基","492","9.94","3180","4.28","3.16","63.41","15","0","7.43","15.2"
"6226","光鼎","22.05","3.52","19361","16.76","0.68","49.19","32","17","11.55","4.24"
"3026","禾伸堂","705","2.17","1055","0.64","0.95","60.59","8","4","16.59","7.37"
"2404","漢唐","1075","-1.83","1385","0.73","-0.34","36.77","27","18","19.06","14.9"
"3363","上詮","607","3.94","2706","2.38","1.02","51.32","5","13","11.36","16.3"
"8070","長華*","50.2","-1.57","10277","14.16","-0.04","31.37","21","10","7.26","5.16"
"2886","兆豐金","46.35","-1.49","28150","0.19","-0.26","33.21","53","38","1483.34","13.1"
"6510","精測","2775","4.32","390","1.19","1.93","51.55","2","2","3.29","10.6"
"6278","台表科","178.5","2.29","4586","1.57","0.67","46.9","7","6","29.24","8.13"
"3211","順達","356","-3.52","7047","4.53","-0.16","35.45","11","4","15.54","25.1"
"6257","矽格","200","0.25","4634","0.96","0.46","31.58","21","44","48.39","9.23"
"2882","國泰金","97.8","-0.51","14408","0.1","0.14","35.21","65","29","1466.92","14.1"
"2375","凱美","125","-1.57","2710","2.49","-0.15","42.3","20","20","10.87","3.39"
"3491","昇達科","1290","5.31","911","1.32","1.42","51.67","9","9","6.89","11.6"
"3265","台星科","174","-3.6","3801","2.79","-2.6","48.67","18","5","13.63","6.79"
"3583","辛耘","713","0.99","579","0.69","1.16","42.93","4","1","8.39","4.08"
"2637","慧洋-KY","94.8","3.27","8820","1.18","1.77","51.55","4","6","74.64","8.22"
"6290","良維","214","-4.25","3822","2.25","-1.51","35.83","28","12","16.97","8.3"
"2356","英業達","64.8","-0.61","11317","0.32","-0.2","32.67","31","52","358.75","7.35"
"2412","中華電","136","0","4586","0.06","-0.32","62.51","3011","245","775.74","6.26"
"2890","永豐金","39.35","-0.13","11151","0.08","-0.05","46.18","118","162","1478.22","4.39"
"2880","華南金","38.95","-0.13","10501","0.07","0.39","31.28","64","3","1405.61","4.07"
"3624","光頡","86.6","-3.46","5912","5.04","-1.43","40.16","9","1","11.73","5.19"
"4966","譜瑞-KY","570","-0.52","891","1.13","-0.05","33.6","23","2","7.9","5.08"
"6409","旭隼","1040","0.97","457","0.52","0.06","48.89","9","12","8.83","4.75"
"1560","中砂","698","-1.27","997","0.66","-0.28","39.27","5","3","15.08","6.98"
"2027","大成鋼","50.4","0.8","14950","0.58","-0.51","53.19","10","183","258.43","7.57"
"4938","和碩","89.6","0.22","6904","0.26","0.28","36.9","82","2","267.57","6.17"
"8043","蜜望實","140.5","-1.75","2358","2.95","-1.91","35.83","28","12","7.99","3.38"
"6116","彩晶","13.8","-3.16","30420","1.06","-1.29","32.93","924","69","285.87","4.25"
"6691","洋基工程","611","-1.93","1528","1.14","-1","33.91","7","2","13.35","9.43"
"5434","崇越","523","-1.32","740","0.38","-0.03","39.78","4","2","19.4","3.87"
"3131","弘塑","2305","-2.12","192","0.64","-1.2","41.71","1","3","2.99","4.48"
"3455","由田","241.5","-2.23","1692","2.82","-0.3","44.27","8","10","5.99","4.1"
"3441","聯一光","97.3","9.94","17203","43.01","1.42","73.32","4101","0","4","16.5"
"6415","矽力*-KY","449.5","2.16","1319","1.35","0.98","52.27","10","3","9.75","5.87"
"5880","合庫金","24.9","0.2","12431","0.08","0","52.22","551","3","1607.3","3.1"
"1477","聚陽","201","4.42","1844","0.75","1.12","60.07","7","31","24.67","3.67"
"5328","華容","62.3","-1.27","7531","4.36","-0.14","41.97","19","1","17.27","4.7"
"8112","至上","93.6","2.86","10004","1.77","1.79","57.38","23","29","56.53","9.2"
"1590","亞德客-KY","1425","-2.06","980","0.49","-0.78","51.83","4","6","20","14.1"
"6285","啟碁","237","0.64","3017","0.62","-0.42","39.7","1","20","48.34","7.18"
"3388","崇越電","94","0.75","5213","6.43","-1.06","42.16","16","7","8.11","4.95"
"1504","東元","73.1","1.81","16026","0.67","-0.1","58.59","97","63","237.64","11.7"
"1785","光洋科","103","1.98","5715","0.96","-1.31","43.11","154","11","59.6","5.96"
"2451","創見","284","1.07","2710","0.63","0.4","43.06","14","7","43.13","7.67"
"6831","邁科","600","0.17","1237","1.83","1.08","43.19","10","2","6.75","7.34"
"3706","神達","90.1","-0.66","4795","0.36","-0.52","48.67","502","13","132.72","4.34"
"3605","宏致","109.5","-7.98","9239","5.26","-1.25","32.06","38","7","17.56","10.2"
"2467","志聖","559","2.19","1270","0.78","-0.41","45.71","2","3","16.29","7.13"
"2867","三商壽","0","0","0","0","0","0","0","0","589.95","0"
"7751","竑騰","1575","9.76","653","2.43","2.61","73.46","103","0","2.69","10"
"2426","鼎元","74.8","10","28919","9.62","0.07","91.8","532","0","30.06","21.6"
"2618","長榮航","42.05","1.08","20344","0.38","0.02","47.57","75","66","540.04","8.55"
"2302","麗正","43.05","-3.69","5146","3.09","-2.29","32.83","22","1","16.63","2.27"
"3362","先進光","186","2.48","11813","8.01","-1.24","54.2","22","20","14.74","22.2"
"1605","華新","36.8","0","16375","0.37","-0.54","41.93","91","38","443.13","6.06"
"4979","華星光","562","6.24","1290","0.9","4.18","47.91","2","6","14.28","6.96"
"5371","中光電","84.6","0.36","4030","1.03","-1.73","43.79","55","11","39.1","3.47"
"1519","華城","728","1.39","2091","0.6","0.07","44.7","13","6","34.75","15.2"
"2472","立隆電","222.5","-3.47","2104","1.28","-0.85","34.37","17","12","16.47","4.72"
"1476","儒鴻","318","2.09","1825","0.67","0.41","64.61","12","10","27.44","5.78"
"2542","興富發","48.3","0.31","9289","0.43","0.21","48.33","131","170","215.31","4.48"
"1717","長興","70.3","1.01","5512","0.47","-0.27","38.83","24","9","118.42","3.89"
"7734","印能科技","2815","-3.1","221","0.79","-0.83","42.27","1","1","2.8","6.27"
"8042","金山電","100.5","-9.87","8281","6.2","-2.87","28.55","298","45","13.36","8.57"
"8028","昇陽半導體","247","0","1355","0.73","0.15","45.07","4","10","18.45","3.34"
"3264","欣銓","208.5","0.97","2148","0.44","0.45","40.85","28","26","49.02","4.46"
"3163","波若威","730","2.82","915","0.97","1.08","60.48","1","7","9.46","6.61"
"3023","信邦","319.5","-0.78","380","0.16","-0.02","46.9","2","1","24.01","1.21"
"5608","四維航","17.05","-2.57","35750","9.18","-0.23","42.14","163","136","38.93","6.11"
"2002","中鋼","19.4","2.37","58977","0.37","0.1","58.97","141","2442","1573.49","11.4"
"3675","德微","270","-2.35","934","1.76","-1.68","32.9","10","1","5.31","2.56"
"9914","美利達","87.1","-1.69","6564","2.2","-2.21","45.81","13","39","29.9","5.85"
"2912","統一超","219","0.23","1730","0.17","0.13","39.26","31","104","103.96","3.78"
"6830","汎銓","421","2.81","814","1.49","1.9","52.07","3","2","5.47","3.36"
"6683","雍智科技","1135","-4.62","816","2.96","-1.79","41.21","9","8","2.76","9.43"
"9921","巨大","105.5","1.44","4237","1.08","-0.04","51.46","8","28","39.21","4.47"
"2484","希華","71.6","-1.92","7574","4.75","-3.02","33.03","63","21","15.94","5.59"
"3498","陽程","183","-3.94","2065","3.37","0.63","42.57","3","17","6.13","3.76"
"4931","新盛力","272","1.49","1799","2.74","1.19","68.06","18","13","6.56","4.84"
"3149","正達","65.8","1.54","4470","1.56","-0.24","52.01","11","5","28.62","2.95"
"3490","單井","48.95","4.59","3365","6.12","0.97","56.06","21","49","5.5","1.63"
"2892","第一金","33.4","-0.6","24609","0.17","0.21","24.95","200","22","1437.95","8.2"
"6525","捷敏-KY","142","-0.35","2213","1.72","-1.63","42.24","22","19","12.9","3.19"
"6727","亞泰金屬","452.5","2.03","1512","5.62","0.27","46.94","1","11","2.69","6.82"
"8086","宏捷科","114.5","-0.87","3676","1.87","0.06","41.1","18","70","19.65","4.21"
"3035","智原","171.5","-0.58","2110","0.81","-0.36","46.89","5","18","26.06","3.63"
"3357","臺慶科","214","-2.06","1106","0.94","-1.05","34.17","14","19","11.79","2.39"
"8271","宇瞻","233","6.15","4667","3.6","2.33","57.68","21","42","12.96","10.6"
"2474","可成","204","0","2175","0.4","-0.16","50.43","71","60","53.88","4.44"
"8016","矽創","291.5","-1.52","1819","1.51","0.5","31.16","1","2","12.01","5.28"
"2316","楠梓電","155.5","0","2708","1.48","0.48","34.61","16","18","18.27","4.19"
"2428","興勤","266.5","3.9","5030","3.93","-1.88","63.44","13","6","12.81","13.7"
"6834","天二科技","93.1","-5","2478","2.8","-1.78","30.49","8","4","8.85","2.35"
"6271","同欣電","195.5","0.77","1869","0.89","0.91","49.58","12","12","20.91","3.62"
"3234","光環","151","2.37","3928","3.52","1.64","48.31","18","52","11.15","5.84"
"4919","新唐","118","1.29","1735","0.38","0.67","49.42","34","14","45.24","2.03"
"3680","家登","466.5","1.19","476","0.49","0.35","38.19","2","1","9.62","2.21"
"7795","長廣","548","0.74","228","0.29","0.92","29.38","3","1","7.88","1.24"
"4939","亞電","62.7","3.64","21056","21.44","-1.89","51.89","4","14","9.82","13.5"
"2610","華航","20","0.5","14146","0.23","-0.15","44.84","994","395","614.5","2.83"
"4991","環宇-KY","518","6.47","1225","1.01","3.89","66.61","2","11","12.13","6.11"
"3715","定穎投控","108.5","0.93","1752","0.62","-0.07","47.54","43","34","28.36","1.9"
"2458","義隆","147","1.03","4288","1.41","0.71","63.97","48","26","30.39","6.26"
"6426","統新","250","8.23","3396","8.82","0.59","65.5","3","2","3.85","8.44"
"6538","倉和","193","0.78","3092","8.2","5.13","44","11","1","3.77","5.68"
"5475","德宏","176","-2.22","1327","1.04","-0.65","58.31","2","3","12.71","2.35"
"7788","松川精密","252","-8.03","2187","2.74","-3.46","32.84","11","2","7.97","5.71"
"2493","揚博","182","-0.55","1511","1.19","0.28","42.6","3","10","12.68","2.74"
"2645","長榮航太","179.5","1.41","2759","0.74","-0.92","51.61","38","12","37.46","5"
"6217","中探針","152.5","-0.33","1674","1.43","-0.03","42.91","5","12","11.72","2.55"
"3376","新日興","188.5","1.07","728","0.37","0.03","48.48","4","6","19.58","1.37"
"2354","鴻準","60.2","-0.99","5455","0.39","-0.02","30.67","19","21","141.45","3.28"
"6584","南俊國際","591","-1.5","514","0.72","-0.99","31.48","9","1","7.14","3.07"
"9904","寶成","25.1","1.62","19431","0.66","0.28","54.34","133","143","294.68","4.86"
"6196","帆宣","496","-0.8","714","0.32","-0.06","38.87","11","3","22.03","3.54"
"4904","遠傳","102","0.49","5725","0.16","-0.06","63.1","277","385","360.77","5.84"
"7711","永擎","453","-7.55","1725","2.41","-2.29","31.17","5","2","7.17","8"
"1102","亞泥","34.65","2.51","23700","0.67","0","58.6","134","114","354.66","8.21"
"4540","全球傳動","58.8","-1.01","2484","2.16","-1.8","36.12","9","10","11.52","1.49"
"1101","台泥","24.85","3.33","42323","0.56","0.53","61.89","127","783","752.32","10.5"
"2353","宏碁","31.05","0.49","12120","0.4","0","48.16","57","63","304.79","3.76"
"3563","牧德","673","-0.15","250","0.39","-0.33","38.62","3","3","6.4","1.69"
"3005","神基","118","0.43","1916","0.31","0.08","37.62","31","65","62.48","2.26"
"1513","中興電","165","0.61","1849","0.37","-0.05","47.67","47","4","50.31","3.05"
"1402","遠東新","29.25","4.46","36596","0.68","0.72","64.87","14","72","535.29","10.6"
"2371","大同","27.6","2.22","10188","0.47","0.73","55.54","103","113","215.08","2.79"
"6781","AES-KY","1070","0.47","382","0.45","0.29","36.58","5","1","8.54","4.08"
"6265","方土昶","56.6","-4.39","11026","9.33","0.55","37.55","9","11","11.82","6.21"
"2606","裕民","70.3","1.15","7363","0.87","0.95","57.31","5","78","84.51","5.13"
"2465","麗臺","85.9","0","2442","2.6","-0.34","37.78","6","3","9.39","2.1"
"6138","茂達","288.5","-2.86","692","0.92","-1.73","27.54","11","2","7.56","2.03"
"8932","智通*","112.5","3.21","2904","3.24","-0.02","67.99","67","43","8.95","3.27"
"6141","柏承","44.1","-0.9","5391","4.75","0.85","36.25","4","2","11.34","2.36"
"6789","采鈺","428","1.54","484","0.15","0.37","51.14","2","1","31.83","2.06"
"2328","廣宇","45.35","-1.41","2777","0.54","-0.09","32.85","5","17","51.83","1.26"
"3236","千如","44.55","-4.5","4502","4.29","-2.77","35.77","28","5","10.5","2.06"
"3019","亞光","135.5","-0.73","1786","0.64","-1.79","43.08","45","27","27.92","2.46"
"2441","超豐","114","0.44","2462","0.43","0.11","55.35","21","33","56.88","2.8"
"5439","高技","243.5","3.84","2799","3.01","0.85","56.39","5","5","9.3","6.76"
"8096","擎亞","108","0","2405","1.61","-0.77","41.46","40","40","14.93","2.62"
"6121","新普","395","-1.62","672","0.36","0.16","44.78","1","2","18.5","2.65"
"3693","營邦","514","1.18","480","1.12","0.53","42.92","2","2","4.3","2.45"
"2312","金寶","31.35","-2.79","11524","0.77","-0.73","34.07","39","67","150.6","3.64"
"4576","大銀微系統","208.5","0.24","5026","4.2","-4.93","52.87","13","14","11.98","11"
"2834","臺企銀","16.5","0.61","16876","0.16","0","45.99","437","1644","1039.83","2.78"
"5876","上海商銀","43.8","0.69","6481","0.13","0.39","66.41","18","14","491.02","2.83"
"5871","中租-KY","111.5","1.83","4078","0.23","0.25","53.6","69","481","174.56","4.54"
"7828","創新服務","1640","1.55","72","0.18","1.13","43.66","2","3","4.05","1.17"
"6207","雷科","102.5","0.49","1312","1.41","0.41","44.09","20","17","9.31","1.34"
"8027","鈦昇","170.5","0.89","1279","1.13","-0.1","43.08","15","7","11.29","2.18"
"6197","佳必琪","300","-0.33","637","0.51","0.05","34.47","4","7","12.58","1.91"
"3016","嘉晶","102.5","0.49","2478","0.85","0.09","45.43","7","70","29.1","2.54"
"6640","均華","958","-0.83","164","0.57","-0.35","34.37","4","1","2.89","1.58"
"2388","威盛","73.7","2.36","2653","0.48","-0.03","55.51","10","6","55.64","1.96"
"6166","凌華","121","-2.02","2363","1.08","1.05","40.29","18","33","21.79","2.83"
"8109","博大","131.5","-2.95","720","0.88","-0.61","31.27","2","13","8.22","0.9526"
"4977","眾達-KY","156","7.59","4276","5.17","2.83","61.85","7","67","8.27","6.49"
"2915","潤泰全","61.6","-0.32","3091","0.28","-0.36","41.71","35","13","110.43","1.91"
"4749","新應材","764","0.66","262","0.28","-0.67","48.84","1","2","9.47","2.02"
"3413","京鼎","287.5","-0.35","1184","1.07","0.23","36.25","3","2","11.09","3.4"
"2332","友訊","20.55","-0.72","11473","1.91","-1.11","40.36","47","115","60.22","2.38"
"4541","晟田","67.7","0.15","5216","7.72","-2.39","45.27","16","10","6.76","3.62"
"5388","中磊","77.8","-0.77","3794","1.25","-0.08","34.04","58","1","30.43","2.95"
"2466","冠西電","96.2","-2.83","2784","1.6","-1.96","34.64","4","1","17.35","2.73"
"3055","蔚華科","108.5","-5.65","1934","1.68","-2.45","33.74","18","19","11.5","2.15"
"2801","彰銀","23.8","-0.42","6079","0.05","0.04","46.19","395","16","1206.02","1.45"
"2476","鉅祥","119","0","1307","0.59","0.04","57.34","60","13","22.01","1.55"
"4722","國精化","204.5","0.74","646","0.62","1.01","46.79","2","3","10.41","1.31"
"6125","廣運","56.7","9.25","7045","2.72","2.27","52.38","7","1","25.9","3.91"
"2347","聯強","86.8","0.58","3635","0.22","0.65","54.79","17","9","166.79","3.13"
"2421","建準","144","-0.69","991","0.35","-0.05","40.08","21","2","28.69","1.43"
"6435","大中","253","-1.56","467","1.25","-1.44","32.39","6","2","3.75","1.2"
"2630","亞航","52.3","0.77","11302","5.4","-2.61","47.87","8","4","20.94","6.07"
"3617","碩天","254.5","-0.97","554","0.58","-0.11","49.82","3","5","9.48","1.41"
"5314","世紀*","23.65","10","4004","6.64","0","100","20434","0","6.03","0.9469"
"2889","國票金","15.65","0.64","4176","0.11","0.13","62.48","337","100","363.36","0.6527"
"9958","世紀鋼","101","1.51","1323","0.54","0.51","42.08","17","43","24.69","1.33"
"6282","康舒","45","-1.21","6501","0.76","-0.16","35.07","34","1","85.61","2.93"
"2385","群光","106.5","0.47","1386","0.18","-0.27","44.43","141","155","76.57","1.48"
"2436","偉詮電","63.2","-2.92","3944","1.89","-0.94","32.43","10","17","20.88","2.52"
"2342","茂矽","39.15","0.9","2357","1.5","-0.15","37.4","7","7","15.73","0.9242"
"6533","晶心科","245","-1.41","532","1.05","-0.97","25.98","6","4","5.07","1.32"
"4989","榮科","62.1","0.65","3272","1.89","-0.53","41.47","8","18","17.28","2.04"
