"Code","Name","Close","Chg","Vol","Turn","Dev","IO","BidQ","AskQ","Cap","Val"
"6173","信昌電","221","3.51","39655","23.16","1.39","54.58","2","26","17.12","86.4"
"5536","聖暉*","878","0.57","3437","5.54","0.48","38.15","3","6","6.2","30"
"3702","大聯大","104.5","-1.88","14490","0.85","0.05","36.39","417","11","170.66","15.1"
"6139","亞翔","766","0","2011","0.85","0.59","43.78","17","1","23.56","15.3"
"2377","微星","140","-1.75","17168","2.03","-0.69","27.78","736","56","84.49","24.2"
"7750","新代","2460","-2.19","618","0.86","-0.3","36.5","11","1","7.18","15.2"
"3036","文曄","205.5","1.99","4338","0.34","1.13","31.89","36","72","127.1","8.81"
"5904","寶雅*","75.9","-2.69","10479","9.85","-0.73","38.17","24","39","10.64","8.01"
"6214","精誠","180","0.84","4118","1.51","0.11","51.73","26","48","27.22","7.4"
"5269","祥碩","1425","-2.4","527","0.71","-1.18","40","20","1","7.42","7.6"
"6907","雅特力-KY","194","0.78","4248","6.79","-2.07","39.17","1","10","6.26","8.42"
"1727","中華化","91.6","-1.19","6848","5.35","0.64","41.24","3","8","12.8","6.23"
"3293","鈊象","758","1.2","2569","0.91","-0.34","44.67","5","23","28.18","19.5"
"2881","富邦金","128","-0.39","18533","0.13","0.42","57.32","195","258","1400.74","23.6"
"8150","南茂","87.9","0.69","19312","2.74","0.39","52.4","25","164","70.45","16.9"
"1326","台化","58.4","3","23556","0.4","-0.63","59.77","10","61","586.12","13.8"
"2478","大毅","128.5","-4.46","18251","12.61","-0.63","55.37","55","43","14.47","23.6"
"3324","雙鴻","993","0.4","1191","1.28","0.73","41.43","5","3","9.31","11.7"
"6213","聯茂","510","5.37","3050","0.84","1.28","72.11","10","165","36.36","15.4"
"1802","台玻","57.7","1.05","75169","2.58","-2.05","46.33","289","24","290.81","44.3"
"6505","台塑化","73","3.99","21155","0.22","-0.34","53.9","62","208","952.6","15.5"
"2351","順德","183.5","-0.81","6566","3.37","1.46","55.18","3","27","19.47","11.9"
"6414","樺漢","402.5","-1.47","1902","1.21","0.02","45.05","1","12","15.66","7.65"
"4967","十銓","266","2.31","4113","4.17","0.27","49.05","8","18","9.86","10.9"
"8069","元太","163","1.24","7860","0.68","0.23","54.83","158","75","115.46","12.8"
"1301","台塑","57.8","1.76","13568","0.21","-0.28","54.58","101","180","636.57","7.86"
"1216","統一","78.2","0.9","18264","0.32","0.48","54.98","204","238","568.2","14.2"
"2883","凱基金","30.4","0","26318","0.16","0.2","59.34","163","576","1697.48","7.98"
"6715","嘉基","492","9.94","3180","4.28","3.16","63.41","114","0","7.43","15.2"
"6226","光鼎","22","3.29","20543","17.79","0.46","51.93","74","62","11.55","4.5"
"3026","禾伸堂","710","2.9","1209","0.73","1.48","66.41","1","51","16.59","8.46"
"2404","漢唐","1075","-1.83","1529","0.8","-0.3","42.39","29","3","19.06","16.5"
"3363","上詮","610","4.45","2889","2.54","1.42","54.33","3","42","11.36","17.4"
"8070","長華*","50.2","-1.57","10624","14.63","-0.04","33.61","18","97","7.26","5.34"
"2886","兆豐金","46.4","-1.38","31453","0.21","-0.13","40.26","105","34","1483.34","14.6"
"6510","精測","2760","3.76","411","1.25","1.31","49.39","1","3","3.29","11.2"
"6278","台表科","180","3.15","5457","1.87","1.27","39.64","13","58","29.24","9.7"
"3211","順達","355","-3.79","7324","4.71","-0.42","37.75","48","2","15.54","26.1"
"6257","矽格","199.5","0","4911","1.01","0.2","35.36","3","24","48.39","9.78"
"2882","國泰金","97.7","-0.61","16911","0.12","0.03","30.19","116","467","1466.92","16.5"
"2375","凱美","125","-1.57","2996","2.76","-0.14","47.25","37","16","10.87","3.75"
"3491","昇達科","1285","4.9","978","1.42","0.95","48.7","7","2","6.89","12.4"
"3265","台星科","174.5","-3.32","4003","2.94","-2.2","46.23","39","2","13.63","7.14"
"3583","辛耘","713","0.99","622","0.74","1.08","40.1","6","1","8.39","4.39"
"2637","慧洋-KY","94.7","3.16","9185","1.23","1.6","53.47","8","59","74.64","8.56"
"6290","良維","214.5","-4.03","4037","2.38","-1.21","39.13","32","51","16.97","8.77"
"2356","英業達","64.5","-1.07","12622","0.35","-0.59","29.29","635","73","358.75","8.19"
"2412","中華電","136.5","0.37","5094","0.07","0.05","66.21","3769","465","775.74","6.95"
"2890","永豐金","39.35","-0.13","14246","0.1","-0.03","36.19","184","175","1478.22","5.61"
"2880","華南金","38.8","-0.51","12217","0.09","0","40.99","123","220","1405.61","4.74"
"3624","光頡","86.3","-3.79","6404","5.46","-1.64","37.1","11","1","11.73","5.62"
"4966","譜瑞-KY","567","-1.05","973","1.23","-0.53","30.71","29","9","7.9","5.55"
"6409","旭隼","1040","0.97","506","0.57","0.06","53.31","4","5","8.83","5.26"
"1560","中砂","698","-1.27","1073","0.71","-0.26","36.65","10","7","15.08","7.51"
"2027","大成鋼","50.5","1","15796","0.61","-0.3","55.69","89","118","258.43","8"
"4938","和碩","89.7","0.34","8005","0.3","0.34","45.63","71","108","267.57","7.16"
"8043","蜜望實","139.5","-2.45","2541","3.18","-2.43","40.65","61","13","7.99","3.63"
"6116","彩晶","13.8","-3.16","32955","1.15","-1.15","30.66","252","289","285.87","4.6"
"6691","洋基工程","610","-2.09","1577","1.18","-1.13","32.84","15","14","13.35","9.73"
"5434","崇越","526","-0.75","843","0.43","0.48","46.95","2","11","19.4","4.41"
"3131","弘塑","2320","-1.49","224","0.75","-0.48","35.62","2","6","2.99","5.22"
"3455","由田","243","-1.62","1824","3.05","0.3","48.2","3","3","5.99","4.42"
"3441","聯一光","97.3","9.94","17226","43.06","1.42","73.36","7777","0","4","16.5"
"6415","矽力*-KY","448","1.82","1443","1.48","0.59","48","6","6","9.75","6.43"
"5880","合庫金","24.8","-0.2","14596","0.09","-0.36","45.03","144","583","1607.3","3.63"
"1477","聚陽","201","4.42","1914","0.78","1.08","61.33","18","3","24.67","3.81"
"5328","華容","62.3","-1.27","8034","4.65","-0.13","39.36","84","17","17.27","5.01"
"8112","至上","93.7","2.97","10686","1.89","1.78","60.05","49","59","56.53","9.84"
"1590","亞德客-KY","1420","-2.41","1138","0.57","-0.97","44.56","2","26","20","16.3"
"6285","啟碁","237","0.64","3692","0.76","-0.34","50.78","54","4","48.34","8.78"
"3388","崇越電","94.1","0.86","5417","6.68","-0.93","40.65","55","4","8.11","5.15"
"1504","東元","73.1","1.81","16697","0.7","-0.1","60.05","105","1","237.64","12.2"
"1785","光洋科","103.5","2.48","6150","1.03","-0.78","40.42","79","15","59.6","6.42"
"2451","創見","284.5","1.25","2866","0.66","0.54","45.86","37","24","43.13","8.11"
"6831","邁科","602","0.5","1284","1.9","1.36","42","10","1","6.75","7.63"
"3706","神達","90.1","-0.66","5172","0.39","-0.49","45.37","23","23","132.72","4.68"
"3605","宏致","110","-7.56","9577","5.45","-0.78","34.34","60","27","17.56","10.6"
"2467","志聖","560","2.38","1328","0.82","-0.22","44.01","1","1","16.29","7.45"
"2867","三商壽","0","0","0","0","0","0","0","0","589.95","0"
"7751","竑騰","1575","9.76","654","2.43","2.61","73.5","224","0","2.69","10"
"2426","鼎元","74.8","10","28976","9.64","0.07","91.82","525","0","30.06","21.7"
"2618","長榮航","42.25","1.56","24712","0.46","0.4","56.83","17","134","540.04","10.4"
"2302","麗正","43.25","-3.24","5476","3.29","-1.73","37.09","2","25","16.63","2.41"
"3362","先進光","186","2.48","12262","8.32","-1.2","52.24","41","22","14.74","23.1"
"1605","華新","36.85","0.14","17531","0.4","-0.38","45.68","54","14","443.13","6.48"
"4979","華星光","570","7.75","1486","1.04","4.91","52.37","2","25","14.28","8.07"
"5371","中光電","84.3","0","4316","1.1","-1.95","40.97","141","1","39.1","3.71"
"1519","華城","727","1.25","2240","0.64","-0.07","41.85","16","13","34.75","16.3"
"2472","立隆電","223.5","-3.04","2209","1.34","-0.38","37.46","21","5","16.47","4.96"
"1476","儒鴻","317","1.77","1967","0.72","0.09","67.15","15","4","27.44","6.23"
"2542","興富發","48.3","0.31","10156","0.47","0.19","44.32","187","218","215.31","4.9"
"1717","長興","70.2","0.86","5840","0.49","-0.4","42.21","59","32","118.42","4.12"
"7734","印能科技","2815","-3.1","237","0.85","-0.77","39.41","1","2","2.8","6.72"
"8042","金山電","101","-9.42","8503","6.36","-2.33","30.45","258","48","13.36","8.79"
"8028","昇陽半導體","247","0","1465","0.79","0.14","49.09","3","11","18.45","3.61"
"3264","欣銓","208.5","0.97","2302","0.47","0.42","44.88","27","26","49.02","4.78"
"3163","波若威","736","3.66","1014","1.07","1.73","64.69","2","35","9.46","7.34"
"3023","信邦","319","-0.93","443","0.18","-0.15","40.55","2","5","24.01","1.42"
"5608","四維航","17.05","-2.57","36683","9.42","-0.23","41.12","164","151","38.93","6.27"
"2002","中鋼","19.35","2.11","61391","0.39","-0.1","60.57","1166","1232","1573.49","11.9"
"3675","德微","269","-2.71","983","1.85","-1.95","31.66","10","6","5.31","2.7"
"9914","美利達","87.8","-0.9","7015","2.35","-1.34","49.19","2","10","29.9","6.24"
"2912","統一超","220","0.69","1925","0.19","0.53","45.38","24","65","103.96","4.21"
"6830","汎銓","420","2.56","857","1.57","1.57","49.64","5","2","5.47","3.54"
"6683","雍智科技","1140","-4.2","858","3.11","-1.29","41.08","7","4","2.76","9.91"
"9921","巨大","106","1.92","4611","1.18","0.41","55.37","5","62","39.21","4.87"
"2484","希華","71.1","-2.6","8270","5.19","-3.4","38.39","99","2","15.94","6.09"
"3498","陽程","183.5","-3.67","2137","3.49","0.88","44.45","10","11","6.13","3.89"
"4931","新盛力","273","1.87","1997","3.04","1.42","61.05","3","19","6.56","5.38"
"3149","正達","66.2","2.16","4753","1.66","0.35","54.51","2","32","28.62","3.14"
"3490","單井","49.15","5.02","3502","6.37","1.32","57.32","3","14","5.5","1.7"
"2892","第一金","33.3","-0.89","26720","0.19","-0.09","23.18","570","50","1437.95","8.91"
"6525","捷敏-KY","141.5","-0.7","2340","1.81","-1.87","39.95","39","8","12.9","3.37"
"6727","亞泰金屬","460","3.72","1625","6.04","1.81","43.95","4","1","2.69","7.34"
"8086","宏捷科","114.5","-0.87","3938","2","0.05","38.5","18","52","19.65","4.51"
"3035","智原","172","-0.29","2246","0.86","-0.06","44.17","45","33","26.06","3.87"
"3357","臺慶科","214","-2.06","1217","1.03","-0.95","30.98","22","5","11.79","2.63"
"8271","宇瞻","233","6.15","5014","3.87","2.17","54.24","11","67","12.96","11.4"
"2474","可成","204","0","2329","0.43","-0.15","47.2","88","40","53.88","4.76"
"8016","矽創","291.5","-1.52","1878","1.56","0.49","33.28","13","18","12.01","5.45"
"2316","楠梓電","155.5","0","2811","1.54","0.47","37.03","13","3","18.27","4.35"
"2428","興勤","267","4.09","5105","3.99","-1.68","63.73","58","3","12.81","13.9"
"6834","天二科技","93.5","-4.59","2688","3.04","-1.26","28.23","1","5","8.85","2.55"
"6271","同欣電","196","1.03","2063","0.99","1.06","54.33","29","7","20.91","4"
"3234","光環","151","2.37","4023","3.61","1.59","49.57","12","71","11.15","5.98"
"4919","新唐","118.5","1.72","1867","0.41","1.01","46.8","2","95","45.24","2.19"
"3680","家登","468","1.52","519","0.54","0.62","35.08","2","4","9.62","2.41"
"7795","長廣","552","1.47","251","0.32","1.52","26.5","2","2","7.88","1.36"
"4939","亞電","62.7","3.64","21786","22.19","-1.83","53.43","74","205","9.82","13.9"
"2610","華航","20","0.5","16083","0.26","-0.15","39.66","617","261","614.5","3.22"
"4991","環宇-KY","520","6.89","1346","1.11","3.9","67.9","2","45","12.13","6.74"
"3715","定穎投控","109.5","1.86","1933","0.68","0.77","52.36","7","61","28.36","2.1"
"2458","義隆","146","0.34","4522","1.49","0.03","60.68","45","28","30.39","6.6"
"6426","統新","250","8.23","3494","9.08","0.58","65.45","4","5","3.85","8.69"
"6538","倉和","194","1.31","3281","8.7","5.33","46.92","10","38","3.77","6.04"
"5475","德宏","176","-2.22","1353","1.06","-0.64","57.12","5","1","12.71","2.4"
"7788","松川精密","256","-6.57","2301","2.89","-1.83","31.32","6","15","7.97","6"
"2493","揚博","183","0","1632","1.29","0.77","46.76","20","25","12.68","2.96"
"2645","長榮航太","179","1.13","2960","0.79","-1.12","48.11","58","31","37.46","5.36"
"6217","中探針","153.5","0.33","1778","1.52","0.59","40.59","16","4","11.72","2.71"
"3376","新日興","188.5","1.07","783","0.4","0.03","44.89","2","1","19.58","1.48"
"2354","鴻準","60.2","-0.99","5756","0.41","-0.02","34.11","9","83","141.45","3.47"
"6584","南俊國際","586","-2.33","567","0.79","-1.66","38.03","5","1","7.14","3.38"
"9904","寶成","25.05","1.42","20612","0.7","0.08","51.52","28","245","294.68","5.16"
"6196","帆宣","496","-0.8","762","0.35","-0.06","36.54","10","3","22.03","3.78"
"4904","遠傳","102","0.49","6163","0.17","-0.05","58.69","93","268","360.77","6.29"
"7711","永擎","454","-7.35","1802","2.51","-1.99","29.91","35","3","7.17","8.35"
"1102","亞泥","34.7","2.66","25129","0.71","0.12","60.92","203","38","354.66","8.71"
"4540","全球傳動","58.8","-1.01","2585","2.24","-1.74","38.41","5","3","11.52","1.55"
"1101","台泥","24.8","3.12","44021","0.59","0.28","63.27","176","854","752.32","10.9"
"2353","宏碁","31","0.32","12878","0.42","-0.16","45.32","218","169","304.79","4"
"3563","牧德","674","0","277","0.43","-0.17","35.16","13","3","6.4","1.87"
"3005","神基","117.5","0","2041","0.33","-0.32","35.4","107","61","62.48","2.41"
"1513","中興電","166","1.22","2100","0.42","0.5","42.29","32","16","50.31","3.47"
"1402","遠東新","29.2","4.29","37607","0.7","0.55","65.8","103","180","535.29","10.9"
"2371","大同","27.55","2.04","10614","0.49","0.51","53.31","83","95","215.08","2.91"
"6781","AES-KY","1075","0.94","411","0.48","0.7","41.08","1","11","8.54","4.39"
"6265","方土昶","56.5","-4.56","11477","9.71","0.36","40.03","14","1","11.82","6.46"
"2606","裕民","70.2","1.01","7834","0.93","0.76","53.91","60","161","84.51","5.46"
"2465","麗臺","86","0.12","2603","2.77","-0.21","35.33","5","7","9.39","2.24"
"6138","茂達","290","-2.36","750","0.99","-1.13","33.19","4","90","7.56","2.2"
"8932","智通*","112","2.75","3141","3.51","-0.43","70.43","72","9","8.95","3.53"
"6141","柏承","43.95","-1.24","5481","4.83","0.5","36.2","14","5","11.34","2.4"
"6789","采鈺","427.5","1.42","514","0.16","0.23","48.34","2","6","31.83","2.19"
"2328","廣宇","45.6","-0.87","3037","0.59","0.42","38.67","3","54","51.83","1.38"
"3236","千如","44.5","-4.61","4835","4.6","-2.69","33.28","32","10","10.5","2.21"
"3019","亞光","136","-0.37","1948","0.7","-1.31","47.78","2","23","27.92","2.68"
"2441","超豐","114","0.44","2593","0.46","0.11","57.59","94","4","56.88","2.95"
"5439","高技","243.5","3.84","2887","3.1","0.83","57.59","12","4","9.3","6.97"
"8096","擎亞","108","0","2591","1.74","-0.72","38.42","43","6","14.93","2.82"
"6121","新普","395","-1.62","737","0.4","0.15","49.39","1","4","18.5","2.91"
"3693","營邦","516","1.57","498","1.16","0.89","44.81","6","4","4.3","2.55"
"2312","金寶","31.35","-2.79","12326","0.82","-0.7","31.93","74","70","150.6","3.89"
"4576","大銀微系統","208","0","5207","4.35","-4.98","54.21","29","28","11.98","11.4"
"2834","臺企銀","16.55","0.91","19198","0.18","0.24","52.42","331","1327","1039.83","3.17"
"5876","上海商銀","43.65","0.34","7303","0.15","0.05","70.11","16","64","491.02","3.19"
"5871","中租-KY","111.5","1.83","4661","0.27","0.22","58.65","168","6","174.56","5.19"
"7828","創新服務","1650","2.17","80","0.2","1.58","49.37","1","3","4.05","1.3"
"6207","雷科","103","0.98","1415","1.52","0.84","48.04","29","17","9.31","1.45"
"8027","鈦昇","170.5","0.89","1375","1.22","-0.09","47.09","16","4","11.29","2.35"
"6197","佳必琪","300.5","-0.17","668","0.53","0.21","32.82","2","7","12.58","2"
"3016","嘉晶","103","0.98","2690","0.92","0.54","49.47","8","25","29.1","2.76"
"6640","均華","954","-1.24","178","0.62","-0.71","31.61","2","1","2.89","1.71"
"2388","威盛","73.4","1.94","2883","0.52","-0.41","51.45","34","2","55.64","2.12"
"6166","凌華","120.5","-2.43","2506","1.15","0.6","38.1","17","14","21.79","3"
"8109","博大","131.5","-2.95","760","0.92","-0.58","29.56","1","6","8.22","1.01"
"4977","眾達-KY","156.5","7.93","4537","5.49","2.97","63.94","22","30","8.27","6.9"
"2915","潤泰全","61.6","-0.32","3245","0.29","-0.34","39.96","88","24","110.43","2.01"
"4749","新應材","761","0.26","283","0.3","-0.98","45.16","3","1","9.47","2.18"
"3413","京鼎","287","-0.52","1260","1.14","0.05","40.03","15","3","11.09","3.61"
"2332","友訊","20.5","-0.97","12417","2.06","-1.25","37.34","519","6","60.22","2.58"
"4541","晟田","67.6","0","5547","8.21","-2.4","48.55","28","3","6.76","3.84"
"5388","中磊","77.6","-1.02","4404","1.45","-0.3","29.37","5","64","30.43","3.43"
"2466","冠西電","96.1","-2.93","3020","1.74","-1.9","38.79","5","1","17.35","2.96"
"3055","蔚華科","108.5","-5.65","2095","1.82","-2.26","31.44","12","8","11.5","2.33"
"2801","彰銀","23.85","-0.21","7370","0.06","0.21","55.61","159","288","1206.02","1.75"
"2476","鉅祥","119.5","0.42","1368","0.62","0.44","59.27","21","17","22.01","1.63"
"4722","國精化","205","0.99","681","0.65","1.19","49.26","2","4","10.41","1.38"
"6125","廣運","56.2","8.29","7279","2.81","1.32","50.68","47","25","25.9","4.04"
"2347","聯強","87","0.81","4459","0.27","0.72","44.68","18","23","166.79","3.85"
"2421","建準","144","-0.69","1043","0.36","-0.05","43","26","8","28.69","1.5"
"6435","大中","253.5","-1.36","509","1.36","-1.14","29.68","4","4","3.75","1.31"
"2630","亞航","52.3","0.77","11771","5.62","-2.5","45.97","55","49","20.94","6.31"
"3617","碩天","254","-1.17","583","0.61","-0.29","51.65","2","1","9.48","1.49"
"5314","世紀*","23.65","10","4007","6.65","0","100","23137","0","6.03","0.9477"
"2889","國票金","15.65","0.64","4300","0.12","0.06","63.35","82","76","363.36","0.6723"
"9958","世紀鋼","101","1.51","1430","0.58","0.47","39.8","30","28","24.69","1.44"
"6282","康舒","45","-1.21","6875","0.8","-0.16","33.25","73","5","85.61","3.1"
"2385","群光","107","0.94","1527","0.2","0.18","49.6","93","144","76.57","1.63"
"2436","偉詮電","63.3","-2.76","4178","2","-0.74","36.17","64","33","20.88","2.66"
"2342","茂矽","39.1","0.77","2497","1.59","-0.26","40.94","6","5","15.73","0.9788"
"6533","晶心科","245.5","-1.21","592","1.17","-0.69","33.27","6","3","5.07","1.46"
"4989","榮科","62","0.49","3512","2.03","-0.66","39.04","24","35","17.28","2.19"
"3596","智易","162.5","1.56","1323","0.6","0.62","59.16","3","38","22.04","2.14"
